Word,Type,Definition,Sentence1_Spanish,Sentence1_English,Sentence2_Spanish,Sentence2_English,Pronunciation,Difficulty,Pronunciation_Audio
de,prep,"of, from",De donde eres?,Where are you from?,,,,0,
que,conj,"What, that, which",Que?  Dice que hoy es lunes,What?  She says that today is Monday,,,,0,
y,conj,and,Saben leer y escribir,They know how to read and write,,,,0,
en,prep,"in, on",Vivo en el segundo piso,I live on the second floor,,,,0,
un,art,"a, an",Quiero un descanso,I want a break,,,,,
ser,v,to be,Yo soy de California,I am from California,,,,,
a,prep,"to, at",Me voy a Patagonia,I'm going to Patagonia.,Voy a estar en el café,I'll be at the café,,,
el,pron,"he, [ellos] them (m)",El es muy alto,He is very tall,,,,,
lo,art,the (+neut),Que es lo que quieres?,What do you want?,,,,,
no,adv,no,No tengo efectivo,I don't have cash,,,,,
su,adj,his/her/their/your,Quien eres?  Su novio o un amigo?,Who are you?  Her boyfriend or a friend?,,,,,
haber,v,to have,,,,,,,
